fname,label,language,gender,age
Batch1/Anthony_Hopkins/55/55(2)_003493_003719_000.wav,Anthony_Hopkins,english,Male,55
Batch1/Anthony_Hopkins/55/55_003512_004184_000.wav,Anthony_Hopkins,english,Male,55
Batch1/Anthony_Hopkins/55/55_004610_004952_000.wav,Anthony_Hopkins,english,Male,55
Batch1/Anthony_Hopkins/55/55_005002_005470_000.wav,Anthony_Hopkins,english,Male,55
Batch1/Anthony_Hopkins/56/56_002203_003522_000.wav,Anthony_Hopkins,english,Male,56
Batch1/Anthony_Hopkins/57/57_000464_001637_000.wav,Anthony_Hopkins,english,Male,57
Batch1/Anthony_Hopkins/57/57_001825_002123_000.wav,Anthony_Hopkins,english,Male,57
Batch1/Anthony_Hopkins/61/61_001488_001680_000.wav,Anthony_Hopkins,english,Male,61
Batch1/Anthony_Hopkins/64/64(2)_000634_001085_000.wav,Anthony_Hopkins,english,Male,64
Batch1/Anthony_Hopkins/64/64_006650_006880_000.wav,Anthony_Hopkins,english,Male,64
Batch1/Anthony_Hopkins/64/64_006930_007754_000.wav,Anthony_Hopkins,english,Male,64
Batch1/Anthony_Hopkins/68/68_002412_003227_000.wav,Anthony_Hopkins,english,Male,68
Batch1/Anthony_Hopkins/68/68_013511_014008_000.wav,Anthony_Hopkins,english,Male,68
Batch1/Anthony_Hopkins/70/70_002131_002311_000.wav,Anthony_Hopkins,english,Male,70
Batch1/Anthony_Hopkins/70/70_004333_004488_000.wav,Anthony_Hopkins,english,Male,70
Batch1/Anthony_Hopkins/70/70_008022_008798_000.wav,Anthony_Hopkins,english,Male,70
Batch1/Anthony_Hopkins/73/73_001371_002528_000.wav,Anthony_Hopkins,english,Male,73
Batch1/Anthony_Hopkins/75/75_002410_004854_000.wav,Anthony_Hopkins,english,Male,75
Batch1/Anthony_Hopkins/76/76_003595_003723_000.wav,Anthony_Hopkins,english,Male,76
Batch1/Anthony_Hopkins/77/77_000031_000455_000.wav,Anthony_Hopkins,english,Male,77
Batch1/Anthony_Hopkins/77/77_000520_000925_000.wav,Anthony_Hopkins,english,Male,77
Batch1/Anthony_Hopkins/77/77_001021_001320_000.wav,Anthony_Hopkins,english,Male,77
Batch1/Anthony_Hopkins/77/77_001590_002066_000.wav,Anthony_Hopkins,english,Male,77
Batch1/Anthony_Hopkins/78/78_000161_001170_000.wav,Anthony_Hopkins,english,Male,78
